UI_20150317_000001	{@st41b}各种大师职业类别{nl}你可以了解的特点.{/}
UI_20150323_001372	{@st41b}Enable Fog of War{/}
UI_20150323_001373	{@st41b}Enable FXAA{/}
UI_20150323_001374	{@st41b}Enable GLOW{/}
UI_20150323_001375	{@st41b}Enable Depth{/}
UI_20150323_001376	{@st41b}Enable SoftParticle{/}
UI_20150323_001377	{@st43}Personal Storage{/}
UI_20150323_001378	{@st59}Close Personal Storage.{/}
UI_20150323_001379	{@sti6}Storing and taking item from strorage costs %s silver..{/}
UI_20150323_001380	{@st59}Switch 武器 set (Alt+Z){/}
UI_20150323_001381	{@st59}保存房屋设置{/}
UI_20150323_001382	更改房间
UI_20150323_001383	{@st59}关闭房屋更改.
UI_20150323_001384	{@st59}房屋更改nl} - Change the map of the house and extend the number of characters who can be created.
UI_20150323_001385	{@st41}退出预览
UI_20150323_001386	{@st46}我的金币 : %s{/}
UI_20150323_001387	{@st41b}房屋更改{/}
UI_20150323_001388	{@st59}家居装饰{/}
UI_20150323_001389	{@st41b}房屋设置{/}
UI_20150323_001390	{@st59}更房屋设置{/}
UI_20150323_001391	{@st45ty}角色问候语{/}
UI_20150323_001392	{@st45ty}采购中心
UI_20150323_001393	{@st41b}编辑
UI_20150323_001394	{@st59}更改角色问候语{/}
UI_20150323_001395	{@st59}Set 买入店铺{/}
UI_20150323_001396	Purchast Qty. : %s{/}
UI_20150323_001397	Search items to buy
UI_20150323_001398	Qty.
UI_20150323_001399	价格/个
UI_20150323_001400	{@sti5}%s 个{/}
UI_20150323_001401	{@st41}吃
UI_20150323_001402	{@st41}制作
UI_20150323_001403	{@st41}Craft Qty
UI_20150323_001404	{@st41}Consume 材料
UI_20150401_001405	{@st59}CLsoe Briquetting{/}
UI_20150401_001406	{@st41}Disband Basecamp
UI_20150401_001407	{@st43}[%s Circle]{/}
UI_20150401_001408	{@st43}Skill{/}
UI_20150401_001409	{@st43}Class Tip{/}
UI_20150401_001410	Class Tip
UI_20150401_001411	{@st42}{#ffff00}Fix Target {/}
UI_20150401_001412	{@st41}Disband table
UI_20150401_001413	{@st43}Tincturing{/}
UI_20150401_001414	Joystick Quick Slot
UI_20150401_001415	{@st42}{#ffff00}键盘 Mode{/}
UI_20150401_001416	{@st43}Open offerings box
UI_20150401_001417	{@st41b}Open
UI_20150401_001418	{@st41b}Offering box
UI_20150401_001419	{@st41}Offerings box name
UI_20150401_001420	Price paid
UI_20150401_001421	Estimated profit
UI_20150401_001422	Funds
UI_20150401_001423	{@st45tw}Offering box item details
UI_20150401_001424	{@st41}Sell All
UI_20150401_001425	{@st43}Offerings box
UI_20150401_001426	Give offerings
UI_20150401_001427	Settle Transaction
UI_20150401_001428	Estimated Balance
UI_20150401_001429	{@st45tw}Offerings Box
UI_20150401_001430	{@st41}Empty
UI_20150401_001431	{@st43}Current zone user list{/}
UI_20150401_001432	{@st59}Close GM UI list{/}
UI_20150401_001433	{@st41}Party Description :
UI_20150401_001434	{s20}Amount of Poison {s28}{b}{#ff6600}%s
UI_20150401_001435	材料 for Poison
UI_20150401_001436	{@st41b}Select All{/}
UI_20150401_001437	{@st59}Deselect all when clicking again{/}
UI_20150401_001438	{@st41b}Craft{/}
UI_20150401_001439	{@st59}Mix mix turn and mix{/}
UI_20150401_001440	{@st41b}成就{/}
UI_20150401_001441	发色
UI_20150401_001442	可用标题
UI_20150401_001443	{@st41b}Joystick UI mode{/}
UI_20150401_001444	{@st41}{#ffffcc}Name
UI_20150401_001445	{@st41}{#ffffcc}Price
UI_20150401_001446	{@st41}{#ffffcc}Status
UI_20150401_001447	{@st41b}Cancel Preview
UI_20150401_001448	{@st41}{#ffff00}My Coins : %s{/}
UI_20150401_001449	Equipped
UI_20150401_001450	Description : {#FFFF00}%s{/}
UI_20150401_001451	Average Level : {#FFFF00}%s{/}
UI_20150401_001452	Conditions
UI_20150401_001453	Title %s
UI_20150401_001454	Reward %s
UI_20150401_001455	{@st42}Amount
UI_20150406_001456	{@st43}Basecamp
UI_20150406_001457	{@st42}Construct
UI_20150406_001458	{@st42}Cancel
UI_20150406_001459	{@stc1}Camp duration
UI_20150406_001460	{@st41b}Basecamp
UI_20150406_001461	{@st41b}Camp duration
UI_20150406_001462	{@st42b}Basecamp last for an additional 24 hours when renewed. {nl}%s silver is consumed.
UI_20150406_001463	{@st41}Disband Camp
UI_20150406_001464	{@st42}Disband Table
UI_20150406_001465	{@st59b}Grimore{nl}{@st59s} - Place card on deck and begin summon{/}
UI_20150406_001466	{@st41}My Summon Skill
UI_20150406_001467	{@st41}Stat
UI_20150406_001468	{@st41b}Offerings Box Name
UI_20150406_001469	{@st41b}Details of item offering
UI_20150406_001470	{@st59}Close 买入店铺
UI_20150406_001471	{@st59b}买入店铺{nl}{@st59s} - Trade items for silver
UI_20150406_001472	{@st41b}Client's item request{/}
UI_20150406_001473	{@st41b}Registered iem for sale{/}
UI_20150406_001474	{@st41b}Total income
UI_20150406_001475	{@st41b}Sell
UI_20150406_001476	{@st59}Sell registered item{/}
UI_20150406_001477	{@st59}Close Personal Storage{/}
UI_20150406_001478	{@st41b} %s silver is consumed when storing and taking items from Storage.{/}
UI_20150406_001479	{@st41b}Qty.
UI_20150414_001480	{@st42b}Camp duration is increased when reset.{nl} Costs %s silver .
UI_20150414_001481	{@st41b}Type {@sti7}%s{/}
UI_20150414_001482	{@st41b}Control Difficulty {@sti7}%s{/}
UI_20150414_001483	{@st59b} Item {/}
UI_20150414_001484	{@st59b} Monster {/}
UI_20150414_001485	{@st59b} Move Map {/}
UI_20150414_001486	{@st59b} Battle Command {/}
UI_20150414_001487	{s26}{b}ea
UI_20150414_001488	{s26}{b}Level
UI_20150414_001489	{@st44}{s26}Level
UI_20150414_001490	{@st59b}{s26}ea
UI_20150414_001491	{@st41b}Cook
UI_20150414_001492	{@st41b}Food
UI_20150414_001493	{@st42}Disband table
UI_20150414_001494	{@st41b}Record{/}
UI_20150414_001495	{@st41}Party Description
UI_20150414_001496	{@st41b}Enter{/}
UI_20150414_001497	Roasting Level %s
UI_20150428_001498	{@st43}买入店铺{/}
UI_20150428_001499	{@st41b}关闭
UI_20150428_001500	{@st41b}漏洞报告
UI_20150428_001501	{@st59}问题告示{/}
UI_20150428_001502	你制作漏洞报告的时候将会发送当前游戏截图. 这些文件对于解决漏洞非常有用. 你希望发送它吗?
UI_20150428_001503	{@st41b}漏洞描述 :{/}
UI_20150428_001504	{@st41b}Entering bug desciption is not a requirement but it will help us a lot in analyzing the bug.
UI_20150428_001505	{@st41b}发送
UI_20150428_001506	{@st42}{s14}{#ffff00}Fix Target{/}
UI_20150428_001507	{@st59}Fix target regardless of distance or direction
UI_20150428_001508	Party match found!
UI_20150428_001509	Joystick Rest Quickslot
UI_20150428_001510	{@st41b}Rest Mode
UI_20150428_001511	Joypad Tutorial
UI_20150428_001512	{@st59}Close Joypad tutorial.(M){/}
UI_20150428_001513	键盘 Tutorial
UI_20150428_001514	{@st44}登出{/}
UI_20150428_001515	{@st41b}Leave Helper(需要 %s 金币){/}
UI_20150428_001516	Socket Addition Cost : {#ff9933}%s{/}{nl}Gem Removal Cost : {#ff9933}%s{/}
UI_20150428_001517	{@st41b}Remove Gem
UI_20150428_001518	{@st42}{s14}{#ffff00}UI Mode{/}
UI_20150428_001519	{@st59}Use 键盘 or joypad to control UI
UI_20150428_001520	使用组队搜素 
UI_20150428_001521	When a character matching your party conditions is found {nl}[Party match found!] notice will be shown.
UI_20150428_001522	{@st41}队伍模式{/}
UI_20150428_001523	任务 
UI_20150428_001524	狩猎
UI_20150428_001525	事件
UI_20150428_001526	{@st41}等级差异{/}
UI_20150428_001527	Not related
UI_20150428_001528	{@st41}Desired Class Type{/}
UI_20150428_001529	{@st41b}Leave Party
UI_20150428_001530	{@st59}Search by party description{/}
UI_20150428_001531	{s18}{ol}{gr gradation1}Helper Rules{/}
UI_20150428_001532	{@st59}Proceed manufacturing.{/}
UI_20150428_001533	{@st45ty}Hair Color
UI_20150428_001534	{@st45ty}可用标题
UI_20150428_001535	{@st41_yellow}Helper Skill
UI_20150428_001536	{@st41b}显示其他玩家名称{/}
UI_20150428_001537	{@st43}UI Mode{/}
UI_20150428_001538	{@st41b}Auto{/}
UI_20150428_001539	{@st41b}手柄{/}
UI_20150428_001540	{@st41b}键盘{/}
UI_20150428_001541	手柄
UI_20150428_001542	{@st59}手柄信息{/}
UI_20150428_001543	键盘
UI_20150428_001544	{@st59}键盘信息{/}
UI_20150428_001545	{@st43}显卡设置{/}
UI_20150428_001546	{@st43}Performance{/}
UI_20150428_001547	{@st41b}Low-spec Mode{/}
UI_20150428_001548	{@st41b}Auto Adjustment{/}
UI_20150428_001549	{@st41b}不使用{/}
UI_20150428_001550	Game FAQ
UI_20150428_001551	Players : (%s/%s)
UI_20150428_001552	At least level 100 : (%s/%s)
UI_20150511_001553	{@st41}Link Party Invitation
UI_20150714_001554	{@st66b}道具卖出 : %s 个 / 道具未卖出 : %s 个{/}
UI_20150714_001555	{@st41b}Transaction Record
UI_20150714_001556	{@st41b}Disband Camp
UI_20150714_001557	Card Battle
UI_20150714_001558	{@st64}%s Win(s) {/}
UI_20150714_001559	Select Card
UI_20150714_001560	冒险 Rank{#ffff00}%s{/} ({#ffff00}%s{/} ranking)
UI_20150714_001561	{@st66b}Like!
UI_20150714_001562	我喜欢这个角色 {#ffff00}%s{/}
UI_20150714_001563	{@st41b}Disband Foold Distribution Counter
UI_20150714_001564	{@st42}My summon skill
UI_20150714_001565	{@st42}Stat
UI_20150714_001566	{@st42}当前位置 : %s{/}
UI_20150714_001567	{@st59b}佩戴装备{nl}{@st59s} - 头发/服装 : 可以改变外形的装备{nl} - 武器 : 单手或双手装备{nl}   (佩戴单手武器时可装备副手武器或盾牌 ){nl} - 装甲 : 上衣, 裤子, 手套, 鞋子 穿着{nl} - 配饰 : 项链 1个, 手镯 2个 穿着{nl}   (手镯2는 Alt키로 比较 보기/장착 가능){/}
UI_20150714_001568	{@st43}Open %s shop {/}
UI_20150714_001569	{@st41b}Roasting{/}
UI_20150714_001570	{@st66}Select All
UI_20150714_001571	{@st43}Craft Arrow{/}
UI_20150714_001572	{@st59} Close UI{/}
UI_20150714_001573	{@st66b}Check{/}
UI_20150714_001574	{@st66b}Leave Helper(Coins %s are 需求){/}
UI_20150714_001575	Socket Add Price : {#000000}%s{/} {nl}Gem Extract Price : {#000000}%s{/}
UI_20150714_001576	{ds}Recommend Levels : %s
UI_20150714_001577	Explored : 50.0%
UI_20150714_001578	{@st45tw}[Explored %s%]{/}
UI_20150714_001579	>>More Views..
UI_20150714_001580	%s (%s Rank)
UI_20150714_001581	Job Name
UI_20150714_001582	{@st41b}Invite
UI_20150714_001583	{@st41}If you want to use the Joypad or Mouse, you can select it from the game setting in system menu.{nl}
UI_20150714_001584	When you meet character matching your party conditions, {nl}[Party match found!] notice will be shown.{nl}You will also be recommended to other parties.
UI_20150714_001585	{@st42}Play Style{/}
UI_20150714_001586	{@st42}等级差异{/}
UI_20150714_001587	Any
UI_20150714_001588	{@st42}Class Type{/}
UI_20150714_001589	{@st42}Party Name : %s{/}
UI_20150714_001590	{@st42}Description{/}
UI_20150714_001591	{@st42}Enter{/}
UI_20150714_001592	{@st42}Item Distribution Rule
UI_20150714_001593	{@st42}EXP Distribution Rule
UI_20150714_001594	Get Separately
UI_20150714_001595	Equal Distribution
UI_20150714_001596	Different by Level
UI_20150714_001597	{@st42}分享任务
UI_20150714_001598	Disable
UI_20150714_001599	{@st42}Register as Public Party{/}
UI_20150714_001600	Level
UI_20150714_001601	{@st42}Use 'Recommend Party'{/}
UI_20150714_001602	By Distance
UI_20150714_001603	By Class
UI_20150714_001604	By Level
UI_20150714_001605	By Quest
UI_20150714_001606	By Friendship
UI_20150714_001607	{@st42}Share Party Invitation Link
UI_20150714_001608	>>Party Preview..
UI_20150714_001609	Party Name : %s
UI_20150714_001610	Party Description : %s
UI_20150714_001611	Organization Time : %s ago
UI_20150714_001612	Party Members : %s/5
UI_20150714_001613	Join
UI_20150714_001614	{@st59}Search by Party Name or Description{/}
UI_20150714_001615	Simple Help Details
UI_20150714_001616	{@st43}消息盒子
UI_20150714_001617	{@st41b}Entire
UI_20150714_001618	{@st41b}Unread 消息盒子
UI_20150714_001619	{@st43}{s22}选择一个角色来接受道具.{/}
UI_20150714_001620	{@st41b}Enhancement
UI_20150714_001621	{@st66}List items for 修理
UI_20150714_001622	{@st43}Simoni
UI_20150714_001623	{@st59}Increase skills{/}
UI_20150714_001624	{@st59}Close Skills and Attribute{/}
UI_20150714_001625	{@st43}Skills and Attributes{/}
UI_20150714_001626	Remaining Status Points {nl}{@st46}%s
UI_20150714_001627	收到赞! : %s
UI_20150714_001628	{@st66b}显示 EXP 获取{/}
UI_20150714_001629	{@st66b}显示角色名称{/}
UI_20150714_001630	{@st66b}只显示 Team Name{/}
UI_20150714_001631	{@st66b}显示其他玩家的名称{/}
UI_20150714_001632	{@st66b}自动{/}
UI_20150714_001633	{@st66b}手柄{/}
UI_20150714_001634	{@st66b}键盘{/}
UI_20150714_001635	{@st66b}鼠标
UI_20150714_001636	{@st66b}全屏幕{/}
UI_20150714_001637	{@st66b}窗口模式{/}
UI_20150714_001638	{@st66b}音效音量 (%s){/}
UI_20150714_001639	{@st66b}BGM 音量 (%s){/}
UI_20150714_001640	{@st66b}音量 (%s){/}
UI_20150714_001641	{@st66b}低效模式{/}
UI_20150714_001642	{@st66b}自动配置{/}
UI_20150714_001643	{@st66b}不使用{/}
UI_20150714_001644	{@st66b}确认 Bloom{/}
UI_20150714_001645	{@st66b}确认 贴图{/}
UI_20150714_001646	{@st66b}确认 FXAA{/}
UI_20150714_001647	{@st66b}确认 GLOW{/}
UI_20150714_001648	{@st66b}确认 景深{/}
UI_20150714_001649	{@st66b}确认 软粒子{/}
UI_20150714_001650	{@st66b}确认 高质量贴图 {/}
UI_20150714_001651	{@st66b}垂直同步 On{/}
UI_20150714_001652	{@st66b}垂直同步 Off{/}
UI_20150714_001653	{@st66b} %s 从仓库储存和取出道具的时候会消耗银币.{/}
UI_20150714_001654	%s 赞我
UI_20150714_001655	{@st41}看戏
UI_20150714_001656	{@st66b}退出看戏
UI_20150714_001657	找到一个游戏. 你想来一发吗?
UI_20150714_001658	{@st41}参加
UI_20150714_001659	{@st41}拒绝
UI_20150714_001660	游戏结束
UI_20150714_001661	死亡
UI_20150714_001662	破环
UI_20150714_001663	{@st41}返回区域
UI_20150714_001664	{@st41b}范围区域刚刚 %s 秒钟...{/}
UI_20150714_001665	{@st59}打开消息盒子{/}
UI_20150714_001666	{@st42}更改房屋{/}
UI_20150714_001667	{@st42}房屋设置{/}
UI_20150714_001668	{@st65}%s 分数{/}
UI_20150714_001669	{@st65}%s 个{/}
UI_20150714_001670	{@st65}% 分数{/}
UI_20150714_001671	{@st65}%s 个{/}
UI_20150714_001672	图片描述
UI_20150714_001673	{#000000}%s 秒钟
UI_20150714_001674	{#000000}%s 装备了
UI_20150714_001675	团队名称 : {#2c140c}%s{/}
UI_20150714_001676	描述 : {#2c140c}%s{/}
UI_20150714_001677	平均 Level : {#2c140c}%s{/}
UI_20150714_001678	寻找团队成员 : {#2c140c}%s{/}
UI_20150714_001679	分享任务 : {#2c140c}%s{/}
UI_20150714_001680	EXP 分配规则 : {#2c140c}%s{/}
UI_20150714_001681	道具 分配规则 : {#2c140c}%s{/}
UI_20150714_001682	你在团队里玩的爽吗?
UI_20150714_001683	{@st42} 获取了 %s 到 %s
UI_20150714_001684	{@st42} 强化了 %s 来自 %s
UI_20150714_001685	备忘录 :%s
UI_20150714_001686	{@st59}添加材料到道具栏.{/}
UI_20150714_001687	{@st66b}价格 : %s{/}
UI_20150714_001688	角色问候语
UI_20150714_001689	买入店铺
UI_20150714_001690	%s 个
UI_20150714_001691	{@41b}条件
UI_20150714_001692	{@st41}删除
UI_20150714_001693	{@st41}刷新
UI_20150717_001694	赞这个玩家 {#ffff00}%s{/}
UI_20150717_001695	{@st41b}{s56}这个游戏是 {#0066FF}
UI_20150717_001696	Rated T.
UI_20150717_001697	{s40} {nl}Playing the game for long hours may negatively affect your health.{/}e
UI_20150717_001698	{@st66b}Enter
UI_20150717_001699	{@st42}My Summon Info
UI_20150717_001700	You movement slows down when you do not have enough{@st59}STA{/}
UI_20150717_001701	{@st59}Arrange Inventory{/}
UI_20150717_001702	整理
UI_20150717_001703	{@st59}Close Joypad Control Info.{/}
UI_20150717_001704	{@st59}Close 键盘 Control info.{/}
UI_20150717_001705	Mouse Tutorial
UI_20150717_001706	{@st59}关闭鼠标说明.{/}
UI_20150717_001707	攻击力 : %s
UI_20150717_001708	防御力 : %s
UI_20150717_001709	力量 : %s
UI_20150717_001710	体力 : %s
UI_20150717_001711	智力 : %s
UI_20150717_001712	敏捷 : %s
UI_20150717_001713	精神 : %s
UI_20150717_001714	{@st42b}剑士系列连按两次方向键可以快速奔跑{/}
UI_20150717_001715	{@st42}Party Name and Description{/}
UI_20150717_001716	{@st42}Insert Party Invitation Tag
UI_20150717_001717	{@st41b}Public Party List{/}
UI_20150717_001718	{@st41b}Recommended Character List{/}
UI_20150717_001719	{@st41b}Receive Recommendation
UI_20150717_001720	This can only be used by party leaders.
UI_20150717_001721	You must use the Party Member Recommendation function.
UI_20150717_001722	{@st66b}Quest Class Name{/}
UI_20150717_001723	{@st59b}Shop{nl}{@st59s} - Use Shift + Right-click and enter quantity to buy/sell multiple items{nl} - Right-click twice to sell all the item{/}
UI_20150717_001724	{@st59}Mouse Info{/}
UI_20150717_001725	{@st66b}Arrange
UI_20150717_001726	{@st59}Arrange items.{/}
UI_20150717_001727	{@st59}装备武器{nl}Alt+Z 来变换武器{/}
UI_20150717_001728	Watch as observer
UI_20150717_001729	{@st41}战场
UI_20150717_001730	结果
UI_20150717_001731	{@st41}立刻移动
UI_20150717_001732	{@St41b}       The Team Name represents your characters.{nl}      It is the common name used within the game.{nl}               Team Name may be changed later on.{/}
UI_20150729_001733	{@st42}只显示可用的{/}
UI_20150729_001734	Leg Count
UI_20150729_001735	高度
UI_20150729_001736	重量
UI_20150729_001737	{@st43}Gem Roasting{/}
UI_20150729_001738	{@st59b}Item Crafting{nl}{@st59s} - You can craft items using its recipes{nl} - Place the recipe and 材料 on the slot then craft{nl} - You can attach name and memo on the item{/}
UI_20150729_001739	{@st59}Close Arrow Crafting.{/}
UI_20150729_001740	Fragments needed : Mutant %s / Beast %s / Plant %s
UI_20150729_001741	{@st42b}Swordsman types can run by double tapping directional key.{/}
UI_20150729_001742	{@st41}Party Settings
UI_20150729_001743	{@st41}Party Gathering Settings
UI_20150729_001744	{@st42}User Party Search Function{/}
UI_20150729_001745	If there is a player matching your conditions, [Patry condition matched!] message will be shown.
UI_20150729_001746	{@st41b}Recommended Player List{/}
UI_20150729_001747	{@st41}Attribute Information
UI_20150729_001748	{@st59}Cancel Enhancement{/}
UI_20150729_001749	{@st59b}Gem/Card Enhancement{nl}{@st59s} - Select Gem or Card to enhance from your inventory{nl} - All items except quest items can be used as 材料{nl} (Most effective when using Gem as material){nl} - Card can only be enhanced by using other cards{/}
UI_20150729_001750	{#000000}{s22}Waiting to enter server..
UI_20150729_001751	{#000000}{s22}Server full. Queing for entry.
UI_20150729_001752	{#000000}{s22}Current Rank : %s
UI_20150729_001753	{@st43}Team Battle League
UI_20150729_001754	{@st59}Close Team Battle League
UI_20150729_001755	{@st42}Team Battle League Schedule
UI_20150729_001756	{@st43}Team Battle League Rankings
UI_20150729_001757	{@st59}Close Team Battle League Rankings
UI_20150729_001758	Team Name
UI_20150729_001759	{@st41b}技能名称
UI_20150729_001760	{@st59}Accept Party Mission{/}
UI_20150729_001761	{@st59}Delete this ticket.{/}
UI_20150729_001762	分数
UI_20150729_001763	Join Team Battle League
UI_20150730_001764	{@st56}我的 等级
UI_20150730_001765	{@st56}击杀 等级
UI_20150730_001766	{@st56}伤害 等级
UI_20150803_001767	General: /s chat{nl}Shout: /y chat {nl}Party: /p chat{nl} Whisper: /w TeamName Chat
UI_20150803_001768	{@st66b}手柄震动{/}
UI_20150803_001769	Found match. Please wait until you joint the game.
UI_20150803_001770	{@st43}{s18}Please select the character to receive items.{/}
UI_20150804_001771	最大栏位 %s 个
